STATIONID,NAME,DATE,HR,ATF,RHP,WSM,PREC,FFMC,DMC,DC,ISI,BUI,FWI,DSR,CDSR
BLSA2,BENTALIT,20210921,22,50,28,2,0,87.88735199,7.259932041,232.7693329,3.723713636,13.469594,4.763148785,0.43096453,68.93442535
BLSA2,BENTALIT,20210922,22,48,35,2,0,88.14651489,8.415880203,236.0733337,3.864606619,15.45440865,5.370069504,0.532884777,69.46730804
BLSA2,BENTALIT,20210923,22,44,55,3,0,86.92738342,9.038116455,238.9773407,3.521002769,16.51476288,5.092186928,0.48505342,69.95236206
BLSA2,BENTALIT,20210924,22,41,73,1,0.11,56.39253616,6.625380993,241.5813446,0.341584951,12.40054798,0.232250124,0.002052631,69.95441437
BLSA2,BENTALIT,20210925,22,53,33,2,0,75.05612183,8.148241997,245.3853455,0.903615057,15.04733276,0.687856793,0.014026213,69.96843719
BLSA2,BENTALIT,20210926,22,55,27,1,0,84.45763397,9.951885223,249.3893433,2.122199774,18.09824371,3.092182398,0.200603336,70.16903687
BLSA2,BENTALIT,20210927,22,51,28,1,0,87.74230957,11.44596291,252.9933472,3.363148928,20.56582069,5.571703434,0.568810582,70.73784637
BLSA2,BENTALIT,20210928,22,50,31,1,0,88.65426636,12.80954075,256.497345,3.832937956,22.77554131,6.716710567,0.791837692,71.52968597
BLSA2,BENTALIT,20210929,22,49,30,2,0,89.12152863,14.12364388,259.9013367,4.445034504,24.86872673,8.086055756,1.099671364,72.62935638
BLSA2,BENTALIT,20210930,22,42,45,3,0,88.28054047,14.77535439,262.6053467,4.272322178,25.90664864,7.995081425,1.077867627,73.70722198
CBKA2,CAMPBELL CREEK,20210921,22,47,35,5,0.13,61.42004395,3.9878757,221.9232635,0.667720854,7.632852554,0.349947035,0.00424085,149.4013062
CBKA2,CAMPBELL CREEK,20210922,22,45,43,0,0,71.10946655,4.832418919,224.9272614,0.6488083,9.17219162,0.373728901,0.004764246,149.4060669
CBKA2,CAMPBELL CREEK,20210923,22,41,67,0,0,74.10877991,5.190805435,227.5312653,0.731524765,9.821454048,0.437024057,0.006284393,149.4123535
CBKA2,CAMPBELL CREEK,20210924,22,38,94,0,0.97,12.18045521,1.927379847,168.1613312,4.13E-06,3.747383356,1.58E-06,1.46E-12,149.4123535
CBKA2,CAMPBELL CREEK,20210925,22,40,87,0,0.58,5.905993462,0.409138024,139.1021423,1.20E-07,0.812303066,3.05E-08,1.00E-15,149.4123535
CBKA2,CAMPBELL CREEK,20210926,22,42,70,1,0.07,19.94303131,0.355478555,141.8061371,0.000138459,0.70652926,3.42E-05,3.39E-10,149.4123535
CBKA2,CAMPBELL CREEK,20210927,22,45,48,1,0,42.79045868,1.12593925,144.8101349,0.062287867,2.208940744,0.019860828,2.64E-05,149.412384
